"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 09 13:10:37 IST 2024","Tue Apr 09 13:10:59 IST 2024","21430","tests.scenarios","test_nitrosamine_limits","TestNitrosamineLimit","","","Test Nitrosamine SAL","This test case test the Nitrosamine SAL from list of production when upper limit  for surface area is selected & default surface area is sqin"
"failed","Tue Apr 09 14:10:56 IST 2024","Tue Apr 09 14:10:58 IST 2024","1180","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for swab samples for split","This test case tests API to Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for swab samples for split"
"passed","Tue Apr 09 13:55:43 IST 2024","Tue Apr 09 13:55:50 IST 2024","7122","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Validate the samples when Select custom for direct and indirect of active residue verification","This test case tests API to Validate the samples when Select custom for direct and indirect of active residue verification"
"passed","Tue Apr 09 14:42:21 IST 2024","Tue Apr 09 14:42:29 IST 2024","8529","tests.scenarios","test_limit_equipments","TestLimitsOnEquipments","","","Test Equipment Wise Dosage Criteria SAL of Productions on Equipments","This test case tests Equipment wise SAL when Dosage Criteria in Policy is selected for all production mapped to Equipment"
"failed","Tue Apr 09 14:11:09 IST 2024","Tue Apr 09 14:11:11 IST 2024","1578","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the absent on sample limits of Protocol microbial Endotoxin residue verification when select zero in microbial policy for swab samples for non-split on sample limit and summary page","This test case tests API to Validate the absent on sample limits of Protocol Microbial Endotoxin residue verification when select zero in microbial policy for swab samples for non-split on sample limit and summary page"
"skipped","Tue Apr 09 14:42:50 IST 2024","Tue Apr 09 14:42:50 IST 2024","0","tests.scenarios","test_limit_equipments","TestLimitsOnEquipments","","","Test SAL of Production on Equipments for LD50 Criteria in API Facility","This test case tests SAL when LD50 Criteria in Policy is selected for all production mapped to Equipment in API Facility"
"passed","Tue Apr 09 14:17:32 IST 2024","Tue Apr 09 14:17:35 IST 2024","2944","tests.scenarios.offline_study","test_offline_studys","TestOfflineStudies","","","Residue Type Cleaning Agent select have unit mg/sqcm","This testcase test Api to test that when residue type select is Cleaning Agent then its unit should be mg/sqcm"
"passed","Tue Apr 09 13:43:38 IST 2024","Tue Apr 09 13:43:39 IST 2024","892","tests.scenarios.multi_production_protocol.inspection","test_multi_production_protocol_inspection_sqm_ml","TestInspectionMultiProductionProtocolSqmMl","","","Create Inspection on Equipment & Validate the Nitrosamine Residue Verification Chemical Samplesfor surface area sqm and volume as ml","This test case tests API to create an inspection on equipment and validate the nitrosamine residue verification chemical samples for surface area sqm and volume as ml"
"passed","Tue Apr 09 14:18:53 IST 2024","Tue Apr 09 14:18:53 IST 2024","99","tests.unit.offline_study","test_offline_study","TestOfflineStudy","","","Add new offline study","This test case test API to add new offline study to Offline studies"
"skipped","Tue Apr 09 12:52:28 IST 2024","Tue Apr 09 12:52:28 IST 2024","0","tests.scenarios.audit_portal","test_audit_portal_formulation_facility","TestAuditPortalLimits","","","Validate master data snapshot report for Products","This test case test API to validate the master data snapshot report for products with excel file data"
"passed","Tue Apr 09 13:39:09 IST 2024","Tue Apr 09 13:40:01 IST 2024","52319","tests.scenarios.multi_production_protocol.inspection","test_multi_production_protocol_inspection_sqm_l","TestInspectionMultiProductionProtocolSqml","","","Create Inspection on Equipment & Validate the Active Residue Verification Chemical Samplesfor surface area sqm and volume as l","This test case tests API to create an inspection on equipment and validate the active residue verification chemical samples for surface area sqm and volume as l"
"passed","Tue Apr 09 14:18:10 IST 2024","Tue Apr 09 14:18:13 IST 2024","2708","tests.unit.audit_portal","test_audit_portal","TestAuditPortal","","","Configure new equipment report","This test case test API to configure new equipment report on generated report"
"passed","Tue Apr 09 14:37:42 IST 2024","Tue Apr 09 14:37:42 IST 2024","96","tests.unit.quick_actions","test_add_new_production","TestAddNewProduction","","","Get details of archive Productions","This method is used to get details of archive Productions"
"passed","Tue Apr 09 12:56:50 IST 2024","Tue Apr 09 12:57:00 IST 2024","10070","tests.scenarios","test_cleaning_agent_limit","TestCleaningAgentLimit","","","Test Cleaning agent SAL","This test case test the cleaning agent from list of equipment sal when only toxicity criteria is selected"
"passed","Tue Apr 09 13:46:16 IST 2024","Tue Apr 09 13:46:28 IST 2024","12839","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol and validate active residue verification SAL when surface area unit is sqcm","This test case tests API to Create Protocol and validate active residue verification SAL when surface area unit is sqm and SAL mass unit is ug"
"passed","Tue Apr 09 13:49:49 IST 2024","Tue Apr 09 13:49:51 IST 2024","2498","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol and select based on policy for conductivity residue verification","This test case tests API to Create Protocol based on policy for conductivity residue verification"
"skipped","Tue Apr 09 12:52:28 IST 2024","Tue Apr 09 12:52:28 IST 2024","0","tests.scenarios.audit_portal","test_audit_portal_api_facility","TestApiAuditPortalLimits","","","Validate master data snapshot report for analytical method","This test case test API to validate the master data snapshot report for analytical method with excel file data"
"skipped","Tue Apr 09 14:42:50 IST 2024","Tue Apr 09 14:42:50 IST 2024","0","tests.scenarios","test_limit_equipments","TestLimitsOnEquipments","","","Test SAL of Production on Equipments for Dosage Criteria in API Facility","This test case tests SAL when Dosage Criteria in Policy is selected for all production mapped to Equipment in API Facility"
"passed","Tue Apr 09 14:17:23 IST 2024","Tue Apr 09 14:17:24 IST 2024","1391","tests.scenarios.offline_study","test_offline_studys","TestOfflineStudies","","","Validate material on next page","This test case test Api to validate the material selected is appear on next page or not"
"passed","Tue Apr 09 13:07:19 IST 2024","Tue Apr 09 13:07:32 IST 2024","12036","tests.scenarios","test_nitrosamine_chemical_limits","TestNitrosamineChemicalSampleLimit","","","Test the swab & rinse limit of Nitrosamine map to production","This test case test the swab & rinse sample limit of Nitrosamine map with production whenswab & rinse sample unit is in mg & surface area is sqin and volume is L"
"passed","Tue Apr 09 13:51:03 IST 2024","Tue Apr 09 13:51:10 IST 2024","6902","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol for bioburden residue verification for split & select based on policy for directfungal & custom for bacterial ","This test case tests API to Create Protocol bioburden residue verification for split when select based on policy for direct fungal and custom for bacterial"
"passed","Tue Apr 09 14:19:06 IST 2024","Tue Apr 09 14:19:07 IST 2024","634","tests.unit.production","test_production","TestProduction","","","get production equipment mapping details","This method is used to get details of equipment mapped to a production"
"passed","Tue Apr 09 14:18:38 IST 2024","Tue Apr 09 14:18:38 IST 2024","105","tests.unit.master_data","test_cleaning_agent_master_data","TestCleaningAgentMasterData","","","Get details of archive cleaning agent from master data","This method is used to get details of archive cleaning agent from master data"
"passed","Tue Apr 09 14:18:44 IST 2024","Tue Apr 09 14:18:53 IST 2024","9010","tests.unit.migrate_data","test_file_import","TestFileImport","","","Import Master Data","This test case tests API to import master data in facility"
"failed","Tue Apr 09 14:12:10 IST 2024","Tue Apr 09 14:12:11 IST 2024","1125","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the sample limits of Endotoxin residue verification for direct indirect bop","This test case tests API to Create Protocol for Endotoxin residue verification and validate the sample limits when select based on policy for direct and indirect"
"passed","Tue Apr 09 14:42:42 IST 2024","Tue Apr 09 14:42:50 IST 2024","7775","tests.scenarios","test_limit_equipments","TestLimitsOnEquipments","","","Test Equipment Wise SAL when Same API to Same API Limits is OFF","This test case tests Equipment wise SAL when All Criteria and Same API to Same API Limits is OFF in Policy is selected for all production mapped to Equipment"
"passed","Tue Apr 09 14:19:03 IST 2024","Tue Apr 09 14:19:03 IST 2024","487","tests.unit.production","test_production","TestProduction","","","Get ID on any one Productions","This test case get ID of any one Production by ProductionID in a Facility"
"passed","Tue Apr 09 13:49:43 IST 2024","Tue Apr 09 13:49:45 IST 2024","2471","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol and select based on policy for atomic absorption residue verification","This test case tests API to Create Protocol based on policy for atomic absorption residue verification"
"failed","Tue Apr 09 14:11:45 IST 2024","Tue Apr 09 14:11:46 IST 2024","1229","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the absent on sample limit and summary page of Protocol bioburden Endotoxin residue verification when select zero in microbial policy for room grade rinse samples for split ","This test case tests API to Validate the absent on sample limit and summary page of Protocolbioburden Endotoxin residue verification when select zero in microbial policy for room grade rinse samples for split "
"passed","Tue Apr 09 14:18:03 IST 2024","Tue Apr 09 14:18:04 IST 2024","1160","tests.unit.audit_portal","test_audit_portal","TestAuditPortal","","","Generate production limit in audit portal with production","This test case test API to generate production limit in audit portal only with previous production"
"passed","Tue Apr 09 14:19:10 IST 2024","Tue Apr 09 14:19:10 IST 2024","108","tests.unit.production","test_production","TestProduction","","","Get All Production details","This Test case test API to get all Production details"
"passed","Tue Apr 09 14:19:04 IST 2024","Tue Apr 09 14:19:05 IST 2024","1027","tests.unit.production","test_production","TestProduction","","","Edit/Update production attribute","This method is used to edit/update the production attribute of a production"
"passed","Tue Apr 09 14:18:53 IST 2024","Tue Apr 09 14:18:54 IST 2024","1002","tests.unit.offline_study","test_offline_study","TestOfflineStudy","","","Add Details to offline study","This Test case test API to add details like equipment, API, production to offline study"
"skipped","Tue Apr 09 13:52:14 IST 2024","Tue Apr 09 13:52:14 IST 2024","0","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol for bioburden residue verification for split when unit is sqcm and L","This test case tests API to Create Protocol bioburden residue verification for split when select based on policy for fungal & bacterial of direct, and  for bacterial & fungal of Indirect when default surface unit is sqcm and volume is L"
"passed","Tue Apr 09 14:18:55 IST 2024","Tue Apr 09 14:18:55 IST 2024","95","tests.unit.offline_study","test_offline_study","TestOfflineStudy","","","Get Residue types details","This Test case test API to get residue types details for offline study"
"passed","Tue Apr 09 13:48:11 IST 2024","Tue Apr 09 13:48:22 IST 2024","10824","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol and select based on policy for Nitrosamine residue verification","This test case tests API to Create Protocol based on policy for nitrosamine residue verification when surface area is sqin and SAL mass unit is mg"
"passed","Tue Apr 09 13:47:31 IST 2024","Tue Apr 09 13:47:42 IST 2024","10848","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol and add custom cleaning agent residue verification SAL","This test case tests API to Create Protocol and add custom cleaning agent residue verification SAL for both direct and Indirect contact surface area"
"passed","Tue Apr 09 13:44:57 IST 2024","Tue Apr 09 13:44:58 IST 2024","1284","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Unselect specific verification & move to next page in multi-production protocol","This test case tests API to unselect active, cleaning-agent, nitrosamineverification & move to next page in multi-production protocol"
"failed","Tue Apr 09 14:12:08 IST 2024","Tue Apr 09 14:12:09 IST 2024","1182","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the absent on sample limits of Protocol microbial Endotoxin residue verification when select zero in microbial policy for rinse samples for non-split on sample limit and summary page","This test case tests API to Validate the absent on sample limits of Protocol Microbial Endotoxin residue verification when select zero in microbial policy for rinse samples for non-split on sample limit and summary page"
"skipped","Tue Apr 09 14:42:50 IST 2024","Tue Apr 09 14:42:50 IST 2024","0","tests.scenarios","test_limit_equipments","TestLimitsOnEquipments","","","Test SAL of Production on Equipments for Toxicity Criteria in API Facility","This test case tests SAL when Toxicity Criteria in Policy is selected for all production mapped to Equipment in API Facility"
"failed","Tue Apr 09 14:11:31 IST 2024","Tue Apr 09 14:11:32 IST 2024","1624","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the sample limits of Endotoxin residue verification for direct indirect bop","This test case tests API to Create Protocol for Endotoxin residue verification and validate the sample limits when select based on policy for direct and indirect"
"passed","Tue Apr 09 13:20:24 IST 2024","Tue Apr 09 13:21:21 IST 2024","56596","tests.scenarios.multi_production_protocol.inspection","test_multi_production_protocol_inspection","TestInspectionMultiProductionProtocol","","","Create Inspection on Equipment & Validate the Active Residue Verification Chemical Samples","This test case tests API to create an inspection on equipment and validate the active residue verification chemical samples"
"passed","Tue Apr 09 12:52:58 IST 2024","Tue Apr 09 12:53:09 IST 2024","11421","tests.scenarios","test_chemical_sample_limit_production","TestChemicalSampleLimitProduction","","","Test the swab & rinse limit of equipment map to production","This test case test the swab & rinse sample limit of equipment map with production forformulation when all (toxicity, dosage, default) criteria is selected & for active facility when all (toxicity, dosage, default, LD50) and swab & rinse sample unit is in mg"
"failed","Tue Apr 09 14:11:14 IST 2024","Tue Apr 09 14:11:15 IST 2024","1115","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the absent on sample limits of Protocol microbial Endotoxin residue verification when select zero in microbial policy for swab samples for split on sample limit and summary page","This test case tests API to Validate the absent on sample limits of Protocol Microbial Endotoxin residue verification when select zero in microbial policy for swab samples for split on sample limit and summary page"
"passed","Tue Apr 09 13:58:21 IST 2024","Tue Apr 09 13:58:28 IST 2024","7109","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Validate the sampling profile when select based on policy for pH residue verification","This test case tests API to Validate the sampling profile when select based on policy for pH residue verification"
"passed","Tue Apr 09 14:19:02 IST 2024","Tue Apr 09 14:19:02 IST 2024","519","tests.unit.production","test_equipment_group","TestEquipmentGroup","","","Update the Equipment Group details","This method is use to test API to update the equipment group details"
"failed","Tue Apr 09 14:11:48 IST 2024","Tue Apr 09 14:11:49 IST 2024","1174","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the absent on sample limit and summary page of Protocol bioburden Endotoxin residue verification when select zero in microbial policy for room grade swab & rinse samples for non-split","This test case tests API to Validate the absent on sample limit and summary page of Protocol bioburden Endotoxin residue verification when select zero in microbial policy for room grade swab & rinse samples for non-split"
"passed","Tue Apr 09 14:18:56 IST 2024","Tue Apr 09 14:18:57 IST 2024","656","tests.unit.offline_study","test_offline_study","TestOfflineStudy","","","Add residue details to Offline study","This Test case test API to add residue details to offline study"
"passed","Tue Apr 09 13:45:24 IST 2024","Tue Apr 09 13:45:27 IST 2024","3497","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Select Lowest SAL amongst the selected Production group for a material","This test case tests API to Select Lowest SAL amongst the selected Production group for a material for direct and custom for indirect"
"passed","Tue Apr 09 14:19:24 IST 2024","Tue Apr 09 14:19:25 IST 2024","117","tests.unit.user_management","test_user_management","TestUserManagement","","","Get All User Roles Details","This test case API to get all details of user roles available on CLEEN"
"passed","Tue Apr 09 14:17:22 IST 2024","Tue Apr 09 14:17:23 IST 2024","651","tests.scenarios.multi_production_protocol.study","test_study_multi_production_protocol","TestStudyMultiProductionProtocol","","","Download the study","This test case tests API to download the study"
"passed","Tue Apr 09 14:08:02 IST 2024","Tue Apr 09 14:08:48 IST 2024","45577","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Submit the protocol to review and approve when the default unit is sqcm and l","This test case tests API to Create Protocol for multi-production protocol and Submit the protocol to review and approve when the default unit is sqcm and l"
"passed","Tue Apr 09 14:18:57 IST 2024","Tue Apr 09 14:18:57 IST 2024","517","tests.unit.offline_study","test_offline_study","TestOfflineStudy","","","Assign Reviewer & Approver","This Test case test API to assign and respective reviewer and approver for offline study"
"passed","Tue Apr 09 13:03:32 IST 2024","Tue Apr 09 13:03:38 IST 2024","5573","tests.scenarios","test_limit_productions","TestLimitOnProduction","","","Test Equipment wise SAL for Default Criteria","This test case tests Equipment wise SAL when Default Criteria in Policy is selected for each Equipment mapped to Production"
"passed","Tue Apr 09 13:21:22 IST 2024","Tue Apr 09 13:21:23 IST 2024","1009","tests.scenarios.multi_production_protocol.inspection","test_multi_production_protocol_inspection","TestInspectionMultiProductionProtocol","","","Create Inspection on Equipment & Validate the Nitrosamine Residue Verification Samples","This test case tests API to create an inspection on equipment and validate the nitrosamine residue verification samples"
"passed","Tue Apr 09 14:03:01 IST 2024","Tue Apr 09 14:03:32 IST 2024","31416","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Validate the bioburden residue verification final summary page","This test case tests API to Create Protocol for bioburden residue verification and validate the final summary details"
"passed","Tue Apr 09 14:03:50 IST 2024","Tue Apr 09 14:04:23 IST 2024","32876","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Validate the microbial residue verification final summary page","This test case tests API to Create Protocol for microbial residue verification and validate the final summary details"
"passed","Tue Apr 09 13:51:50 IST 2024","Tue Apr 09 13:52:00 IST 2024","9522","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol for bioburden residue verification for split & when select custom for fungal & bacterial of direct, and based on policy for bacterial & fungal of Indirect","This test case tests API to Create Protocol bioburden residue verification for split when select custom for fungal & bacterial of direct, and based on policy for bacterial & fungal of Indirect"
"passed","Tue Apr 09 13:49:54 IST 2024","Tue Apr 09 13:49:56 IST 2024","1583","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol and select custom for order residue verification","This test case tests API to Create Protocol custom for order residue verification"
"skipped","Tue Apr 09 14:19:17 IST 2024","Tue Apr 09 14:19:17 IST 2024","0","tests.unit.quick_actions","test_quick_action_add_equipment","TestAddNewEquipment","","","Change surface area of Equipment","This method is used to change the surface area of Equipment"
"failed","Tue Apr 09 14:10:27 IST 2024","Tue Apr 09 14:10:28 IST 2024","1222","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the absent on Protocol Endotoxin residue verification when select zero in microbial policy","This test case tests API to Validate the absent on Protocol Endotoxin residue verification when select zero in microbial policy"
"passed","Tue Apr 09 13:03:46 IST 2024","Tue Apr 09 13:03:54 IST 2024","7791","tests.scenarios","test_limit_productions","TestLimitOnProduction","","","Test Production wise SAL for All Criteria with Global Recovery Factor","This test case tests Production wise SAL when SAL unit is ug/sqcm for All Criteria in Policy is selected for each Equipment mapped to Production"
"passed","Tue Apr 09 14:05:19 IST 2024","Tue Apr 09 14:05:25 IST 2024","5798","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Validate the conductivity residue verification final summary page","This test case tests API to Create Protocol for conductivity residue verification and validate the final summary details"
"skipped","Tue Apr 09 13:01:12 IST 2024","Tue Apr 09 13:01:12 IST 2024","0","tests.scenarios","test_fixed_sample_limit","TestFixedSampleLimitsProduction","","","Test Swab and Rinse limit for productions for fixed sample limit","This test case tests Swab and Rinse limits when fixed sample limit for Intermediate is set."
"passed","Tue Apr 09 13:44:46 IST 2024","Tue Apr 09 13:44:49 IST 2024","3075","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Download the multi-production protocol","This test case tests API to download the multi-production protocol"
"failed","Tue Apr 09 14:10:59 IST 2024","Tue Apr 09 14:11:00 IST 2024","1146","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for swab & rinse samples for split","This test case tests API to Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for swab & rinse samples for split"
"passed","Tue Apr 09 13:04:57 IST 2024","Tue Apr 09 13:05:13 IST 2024","15172","tests.scenarios","test_nitrosamine_chemical_limits","TestNitrosamineChemicalSampleLimit","","","Test the swab & rinse limit of Nitrosamine map to production","This test case test the swab & rinse sample limit of Nitrosamine map with production whenswab & rinse sample unit is in mg"
"passed","Tue Apr 09 14:41:59 IST 2024","Tue Apr 09 14:42:08 IST 2024","8873","tests.scenarios","test_limit_equipments","TestLimitsOnEquipments","","","Test ProductWise Upper Limit SAL of Productions on Equipments","This test case tests Production wise SAL when Upper Limit is True for All Criteria in Policy is selected for each Production mapped to Equipment"
"passed","Tue Apr 09 13:32:25 IST 2024","Tue Apr 09 13:32:26 IST 2024","1221","tests.scenarios.multi_production_protocol.inspection","test_multi_production_protocol_inspection_sqin_l","TestInspectionMultiProductionProtocolSqinl","","","Create Inspection on Equipment & Validate the cleaning agent Residue Verification cleaning agent Samples for surface area sqin and volume as l","This test case tests API to create an inspection on equipment and validate the cleaning agent residue verification cleaning agent samples for surface area sqin and volume as l"
"passed","Tue Apr 09 14:17:41 IST 2024","Tue Apr 09 14:17:44 IST 2024","3026","tests.scenarios.offline_study","test_offline_studys","TestOfflineStudies","","","Residue Type Nitrosamine select have unit mg/sqcm","This testcase test Api to test that when residue type select is Nitrosaminethen its unit should be mg/sqcm"
"passed","Tue Apr 09 13:49:51 IST 2024","Tue Apr 09 13:49:54 IST 2024","3136","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol and select custom for conductivity residue verification","This test case tests API to Create Protocol custom for conductivity residue verification"
"skipped","Tue Apr 09 12:52:28 IST 2024","Tue Apr 09 12:52:28 IST 2024","0","tests.scenarios.audit_portal","test_audit_portal_formulation_facility","TestAuditPortalLimits","","","Validate cleaning agents limit report","This test case test API to validate the generated cleaning agent report on audit portal with excel data for equipment"
"passed","Tue Apr 09 14:18:35 IST 2024","Tue Apr 09 14:18:35 IST 2024","86","tests.unit.login_logout","test_features","TestFeatures","","","Get Any One Features of CLEEN Application","This test case Gets Any One Features of CLEEN Application"
"passed","Tue Apr 09 14:18:41 IST 2024","Tue Apr 09 14:18:41 IST 2024","331","tests.unit.master_data","test_nitrosamine_master_data","TestNitrosamineMasterData","","","Archive the Nitrosamine from master data","This method is used to archive the Nitrosamine from master data"
"passed","Tue Apr 09 14:01:38 IST 2024","Tue Apr 09 14:01:52 IST 2024","14169","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Validate the active residue verification final summary page","This test case tests API to Create Protocol for active residue verification and validate the final summary details"
"passed","Tue Apr 09 14:18:39 IST 2024","Tue Apr 09 14:18:39 IST 2024","487","tests.unit.master_data","test_cleaning_procedure_master_data","TestCleaningProcedureMasterData","","","Add new cleaning procedure in master data","This method is used to add new cleaning procedure to the master data"
"passed","Tue Apr 09 14:18:38 IST 2024","Tue Apr 09 14:18:38 IST 2024","344","tests.unit.master_data","test_cleaning_agent_master_data","TestCleaningAgentMasterData","","","Add new cleaning agent in master data","This method is used to add new cleaning agent to the master data"
"failed","Tue Apr 09 14:11:57 IST 2024","Tue Apr 09 14:11:58 IST 2024","1150","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the absent on sample limits of Inspection bioburden Endotoxin residue verification when select zero in microbial policy for room grade rinse & split","This test case tests API to Validate the absent on sample limits of Inspection bioburden Endotoxin residue verification when select zero in microbial policy for room grade rinse & split"
"passed","Tue Apr 09 12:55:53 IST 2024","Tue Apr 09 12:56:10 IST 2024","16563","tests.scenarios","test_chemical_sample_limit_production","TestChemicalSampleLimitProduction","","","Test the swab & rinse limit of equipment map to production","This test case test the swab & rinse sample limit of equipment map with production for formulation when all (toxicity, dosage, default) criteria is selected & for active facility when all (toxicity, dosage, default, LD50) and swab & rinse sample unit is in ug"
